S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction,Onboarding Eligible
233,billing-query,21SM,Y,N,NA,BILLING_PAYMENT ,Y
234,billing-query,SHARED_MAIN_MENU_FWS,Y,N,NA,BILLING_PAYMENT ,Y
235,cancellation-confirm,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
236,cancellation-confirm,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
237,cancellation-confirm,FOREMOST_AGENT_FOREMOST,N,N,NA,TRANSFER,Y
238,cancellation-confirm,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
239,cancellation-confirm,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
240,cancellation-confirm,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
241,cancellation-confirm,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
242,cancellation-confirm,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
243,cancellation-confirm,21V,Y,N,NA,TRANSFER,Y
244,cancellation-confirm,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
245,cancellation-confirm,21SV,Y,N,NA,TRANSFER,Y
246,cancellation-confirm,21SM,Y,N,NA,TRANSFER,Y
247,cancellation-confirm,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
248,cancel-vague,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
249,cancel-vague,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
250,cancel-vague,FOREMOST_AGENT_FOREMOST,N,N,NA,TRANSFER,Y
251,cancel-vague,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU ,Y
252,cancel-vague,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
253,cancel-vague,FARMER_SALES_FARMER_TRAINING,Y,N,NA,CANCEL_POLICY,Y
254,cancel-vague,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
255,cancel-vague,SHARED_MM_HOMEOWNER,Y,N,NA,CANCEL_POLICY,Y
256,cancel-vague,21V,Y,N,NA,TRANSFER,Y
257,cancel-vague,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
258,cancel-vague,21SV,Y,N,NA,TRANSFER,Y
259,cancel-vague,21SM,Y,N,NA,TRANSFER,Y
260,cancel-vague,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
261,change-vague,SHARED_MM_BW,Y,N,SNLUXXPAXX330XYwav,TRANSFER,Y
262,change-vague,BW_PROD_BW,N,N,SNLUXXPAXX330XYwav,BW_POLICY_COLLECTION,Y
263,change-vague,FOREMOST_AGENT_FOREMOST,N,N,SNLUXXPAXX330XYwav,FMST_AGENT_POLICY_SERVICE,Y
264,change-vague,FARM_PL_FAS,N,N,SNLUXXPAXX330XYwav,FAS_PL_MAINMENU,Y
265,change-vague,SHARED_MM_FARMERSERVICE,Y,N,SNLUXXPAXX330XYwav,TRANSFER,Y
266,change-vague,FARMER_SALES_FARMER_TRAINING,Y,N,SNLUXXPAXX330XYwav,POLICY_CHANGE,Y
267,change-vague,FARMER_VANITY_VANITY,Y,N,SNLUXXPAXX330XYwav,TRANSFER,Y
268,change-vague,SHARED_MM_HOMEOWNER,Y,N,SNLUXXPAXX330XYwav,POLICY_CHANGE,Y
269,change-vague,21V,Y,N,SNLUXXPAXX330XYwav,TRANSFER,Y
