intentName,intentGroup,destinationTypeEnterprise,destinationEnterprise,destinationTypeBusiness,destinationBusiness,destinationTypeGovernment,destinationGovernment,closed_door_SS,wirelessSS,identifyEnterprise,identifyBusiness,identifyGovernment,specialIntent,authLevelEnterprise,authLevelBusiness,authLevelGovernment,repromptMenu_EN,repromptMenu_FR
Bus-Main-GOC-Ent-billing,Bus-Main-GOC-Ent-billing,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-GOC-Ent-techsupport,Bus-Main-GOC-Ent-techsupport,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Regional-Ent-DA-billing,Bus-Main-Regional-Ent-DA-billing,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Regional-Ent-DA-techsupport,Bus-Main-Regional-Ent-DA-techsupport,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Sales-DA,Bus-Sales-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Service-SMB-DA,Bus-Service-SMB-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-TechSupp-CLEC-Wir-port-error,Bus-TechSupp-CLEC-Wir-port-error,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-TechSupp-MngdSvcs-Ent-T1,Bus-TechSupp-MngdSvcs-Ent-T1,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancellation-fees,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancel-order,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancel-phone,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancel-service,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
device-balance,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
device-financing,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
